transcript	Kinesin_Family	st411	st413	st415	st441	st449	st451	st265	st266	st301	st302	st311	st312	st361	st362	st409	st410	st193	st194	st195	st196	st305	st306	st307	st308	st333	st334	st335	st336	st363	st364	st365	st366	st405	st406	st407	st408	st225	st226	st227	st228	st229	st230	st231	st232	st337	st338	st339	st340	st341	st342	st343	st344	st369	st370	st371	st372	st373	st374	st375	st376	st393	st394	st395	st396	st397	st398	st399	st400	st417	st418	st419	st420	st421	st422	st423	st424	st481	st482	st483	st484	st485	st486	st487	st488	st249	st250	st251	st252	st253	st254	st255	st256	st257	st258	st259	st260	st261	st262	st263	st264	st313	st314	st315	st316	st317	st318	st319	st320	st321	st322	st323	st324	st325	st327	st328	st345	st346	st347	st348	st349	st350	st351	st352	st353	st354	st355	st356	st357	st358	st359	st360	st377	st378	st379	st380	st381	st382	st383	st385	st386	st387	st388	st389	st390	st391	st392	st425	st426	st427	st428	st429	st430	st431	st432	st433	st434	st435	st436	st437	st438	st439	st440	st527	st528	st529	st530	st531	st532	st533	st535	st536	st537	st538	st539	st540	st541	st542	st465	st466	st467	st468	st469	st470	st471	st472	st473	st474	st475	st476	st477	st478	st479	st505	st506	st507	st508	st509	st510	st513	st514	st515	st516	st517	st518	st519	st520	st554	st555	st556	st557	st558	st561	st562	st563	st564	st565	st566	st567	st568
klp-1_(UNC_104)	UNC-104	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	38.05	0	0	0	0	6.11	0	0	0	120	0	13.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211.64	0.37	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.58	0	0	0	0	0	0	17.92	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0
klp-10_(MKLP)	MKLP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	131.02	0	17.88	0	0	0	2.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.43	0	0	0	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
klp-11_(Kinesin-II)	Kinesin-II	190.69	146.1	119.62	414.85	325.49	124.59	296.01	166.68	647.16	229.11	428.47	395.95	480.57	417.09	158.26	237.42	268.58	537.45	438.41	452.07	111.04	665.18	515.42	396.12	269.9	253.95	413.77	350.55	79.4	83.3	62.01	236.3	300.09	236.4	131.59	145.52	490.78	445.3	52.55	99.29	16.86	93	201.24	140.6	18.54	75.14	70.48	35.29	546.3	832.7	46.83	151.9	0	8.03	192.93	284.79	234.31	29.31	15.81	100.8	2.31	2.59	29.95	39	70.21	156	0.89	716.44	0	0	0	0	285.31	100.13	0	226.3	0	28.47	0	18.28	75.71	293.81	5.45	15.98	67.41	240.5	9.68	37.72	0	150.88	0	0	167.83	1594.55	93.89	3.25	146.13	0	81.13	48.93	759.95	3.85	0	11.68	0.71	0	878.85	1.33	1266.29	979.79	472.1	299.42	606.87	7.28	2	0.74	15.67	36	0	424.94	0	2.93	63.97	2.93	528.71	0	1074.33	124.35	84.98	1.06	534.88	0	0	215.01	253.76	0	0	91.84	41.76	665.18	18.11	97.22	0	0	475.22	0	134.57	5.31	0	0	91.02	0	625.43	0	174.08	0	9.72	229.02	0	0	7.88	32.9	109.71	0	485.35	627.07	239.04	0	474	12.27	6.77	226.92	16.02	0	0	80.55	0.61	32.32	291.44	157.55	14.32	524.4	218.54	0	6.81	98.8	396.97	37.24	0	182.11	373.7	0	63.71	201.93	0.61	0	32.61	931.77	51.76	25.34	32.22	0	1621.34	17.8	352.4	2.01	23.74	30.5	0	0	480.87	478.97	14.75	67.75	312.34	592.04	53.84	63.2	4.01
klp-12_(Chromo-K)	Chromo-K	33.7	28.42	22.01	25.17	15.22	63.43	6.93	150.18	65.81	60.6	97.53	65.53	47.15	45	43.54	2.99	49.75	186.08	14.51	45.91	27.79	42.64	13.34	116.94	0	0.29	62.74	31.62	79.31	0	75.81	0	0.26	0.49	0.74	106.87	0.67	1.01	0	0	0	1.88	2.8	256.55	0.3	146.49	6.86	268.39	59.86	0	91.45	15.84	0	0	0	6.16	0	0	0	12.46	59.11	13.58	35.9	101.96	1.33	0	0	0	0	0	0	0	0	0	0	263.49	0.77	35.49	0.17	52.39	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	54.7	0	0	1.53	89.65	0	0	0.35	0	0	0	0	0	0	0	0	120.11	0	12.29	0	0	0	0	3.41	308.02	0.58	0.9	0	0	1165.87	127.87	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8	0	0	0	1.07	0	0	0	0	0	0	1.89	0	0	0	0	0	0	0	0	6.49	0	0	0	0	0	0	123.42	0	0	0	0	0	0	0	0	0	1.63	0	0	393.95	37.7	0	2279.48	0.9	6.35	0.74	0.24	0	0.47	30.52	14.5	0	0.58	481.96	432.13	0.4	1.52	41.13	0	0
klp-13_(Misc.)	Misc.	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
klp-15_(NcD)	NcD	47.42	37.5	15.11	24.37	58.33	64.83	36.97	8.93	98.28	124.61	98.65	111.02	91.28	135.84	19.16	55.94	15.5	67.49	105.17	60.54	79.86	7.05	28.45	124.09	0.3	2.02	113.49	87.19	10.56	4.36	0	16.94	3.85	12.05	0.43	32.6	26.8	10.54	0.85	0	0	0.98	53.73	0	11.44	0.29	114.01	14.04	14.4	0	2.66	50.85	0	0	0	0	0	0	0	14.48	10.31	43.6	9.93	183.68	55.45	78.8	0.46	0	0	0	0	0	168.56	0	0	0	0.45	0	5.1	39.67	0	0.5	1.28	0.36	0	0	0	0	0	1.94	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0	23.5	0	0	0	0	0.92	0	0	0	4.84	0	0	0	41.2	0	0	0	0	0	0	0	42.49	0	0	0	0	0	0	0	2.93	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0	0	372	0	0	0	82.22	0	0	0	24.32	0	66.07	0	0.93	71.28	0	34	0	0	0	135.77	0	0.27	0.36	0	0	0	26.02	0	0	0	0	50.67	0	0	46.23	0	0	0	0	0	0	0	150.9	0	116.23	0	0	0	0.38	0	4.18	0	0.39	0	74.42	13.57	0	0	26.6	16.45	0	0	0	0	0	0	0.21	71.98	0
klp-16_(NcD)	NcD	20.48	30.39	132.11	67.79	83.45	48.35	79.62	84.56	74.49	80.06	122.34	96.06	75.94	167.88	54.58	23.65	44.74	3.9	72.54	49.18	10.09	23.2	17.55	64.54	30.14	66.09	122.49	50.07	103.58	8.28	86.54	0	1.98	56.03	61.5	17.98	7.93	0	8.28	0	0	12.12	124.88	7.81	1.52	12.72	18.73	0.97	141.63	17.75	39.47	11.78	9.09	0	25.77	81.52	186.54	0	0.38	337.72	0.23	36.09	6.08	166.76	127.81	15.31	0	0.83	0	0	3	16.33	21.61	32.22	7.7	0	0.65	1.08	22.15	74.83	5.95	0.24	0	0.7	0	0	0	2.45	0	0	0	0	0	0	265.05	0	0	0	0	0	16.34	71.83	0	49.15	0	0.99	2.48	244.39	132.8	12.64	1.19	0.3	0	0	0	0	0	0	0	0	0	0.49	0	0	0.31	0	0.44	0.76	173.7	2.66	0.76	1.51	16.44	0	1.26	0	0	0	0.73	0	0	19.6	0	2.87	0	1.95	0	21.94	0	0	0.8	0	182.59	0	0	0	0.61	0	0	0	0	0	30.82	0	0	0	1.24	0	0	6.41	0	0	0	2.92	0.51	0	41.32	0	8.43	0	1.26	0	3.39	0	23.52	0	0	0	0	0	17.98	0	0.47	0	0	0	0	0	18.01	0	0	0	0	0	3.76	48.08	0	0	0	0	1.02	0	0	0	1.85	0	87.7	0	0
klp-17_(NcD)	NcD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
klp-18_(MKLP)	MKLP	32.03	26.67	93.82	32.21	23.46	58.46	26.93	13.28	56.61	59.24	50.57	59.63	49.56	21.83	41.07	4.18	38.06	22.63	1.25	21.24	39.42	66.94	68.71	75.54	82.69	61.06	52.67	57.5	49.43	37.02	68.52	1.36	79.34	4.04	54.55	51.43	103.83	1.9	206.81	31.66	3.16	9.23	1.76	1.62	66.96	64.01	78.89	7.42	31.16	49.06	77.24	45.19	100.59	133.98	5.13	99.05	11.81	0	34.65	0.29	63.63	29.32	11.99	117.75	3.01	103.1	55.69	12.36	0	35.83	82.3	0	1.85	74.16	0	0	64.5	10.25	24.89	15.92	0	0.36	12.79	1.56	39.21	15.22	0	0	0.54	0	0.67	0	0	4.1	0	2.43	0.44	0	116.76	1.93	38.68	0.24	0.48	23.38	78.87	0.37	68.79	6.98	70.24	53.26	54.34	43.76	0.52	0	92	92.81	0	0.36	2.03	39.44	0	0.36	0	1.1	0.23	0	0	1.14	0	0.4	30.73	0	12.21	0	0.7	0	0	0	0	0.98	0	0	0.71	0	0	0.72	0	0	0.69	0	0	0	0	0	0	0	140.5	0	0	0	0	0	0	0.37	30.02	0.85	1.23	0	4.44	66.32	0.36	48.5	0.52	49.9	0.38	248.89	0.92	1.76	0	0	0	0	0	531.53	0.2	0.39	0.36	0.86	0.9	0	11.8	0	0	0	0	2.56	0	0	0	0	0	0	0.28	0	0.16	1.2	190.11	1.76	172.74	0.29	52.54	1.09	0.74	0.68	83.06	12.39	0	0	2.25
klp-19_(Chromo-K)	Chromo-K	26.04	29.69	24.99	18.78	63.71	46.04	41.52	41.88	77.44	54.66	77.27	59.39	70.55	63.28	41.57	7	49.38	8.74	28.83	34	38.46	47.23	54.32	51.81	69.35	88.56	75.56	14.3	49.4	42.35	99.42	0.15	61	33.59	52.65	44.29	56.12	49.33	24.16	2.41	0	14.01	105.78	5.41	17.52	82.99	188.35	55.07	94.74	105.44	98.29	52.2	61.89	142.74	96.6	110.26	170.41	34.15	77.41	0	35	35.07	39.88	42.38	42.99	98.85	0.52	51.14	0	0	41.55	41.28	60.06	46.55	93.43	0	45.69	16.43	56.52	3.48	29.36	270.68	0.29	0.4	39.28	0.17	12.09	119.46	16.75	29.49	0	61.41	3.97	0.53	5.47	0	0	0	79.34	0	63.18	150.54	4.48	65.33	48	0	0	0.78	114.01	0	63.62	2.95	38.06	0	0.39	125.46	53.78	62.65	175.97	135.32	0	274.7	0.15	0	0.18	15.95	0	18.56	17.81	0	0	1.74	0	255.71	77.95	0	0	0	0.84	0	0	0	0	0	4.36	15.75	26.69	0.93	0	0	132.6	2.09	109.42	0	1.05	37.26	0	94.34	94.27	0	4.21	9.58	8.91	55.87	0.2	200.64	148.59	0.25	0	59.7	35.95	35.63	56.4	23.81	346.71	77.5	12.83	0.17	0.21	8.32	249.24	40.13	24.29	43.42	12.52	0	78.51	0.17	0.35	0	55.12	0	11.03	0	3.72	0	0	0	143.38	51.67	2.35	5.77	5.07	0	69.33	0	0	58.78	0	2.98	0.08	0.09	70.34	0	30.43	0	0.23	11.22	0.58
